#medium-kruskal.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Sparse - Kruskal,44,110125,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,18,16-15|12-11|9-8|14-13|7-6|2-1|17-16|8-7|13-12|15-14|11-10|4-3|10-9|3-2|6-5|5-4|18-17|0-0
Medium - Sparse - Kruskal,45,82599,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|46|47|48|49|50,23,16-15|12-11|9-8|14-13|7-6|2-1|50-1|17-16|49-48|8-7|13-12|15-14|47-46|11-10|4-3|10-9|50-49|3-2|6-5|5-4|18-17|48-47|0-0
Medium - Sparse - Kruskal,46,71225,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45,27,40-39|43-18|16-15|40-15|41-40|12-11|42-41|43-42|9-8|14-13|7-6|2-1|17-16|38-37|8-7|13-12|15-14|11-10|4-3|10-9|3-2|6-5|37-12|44-43|45-44|5-4|0-0
Medium - Sparse - Kruskal,47,59735,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,40-39|43-18|16-15|40-15|41-40|12-11|42-41|43-42|9-8|14-13|7-6|2-1|50-1|17-16|38-37|49-48|8-7|13-12|15-14|47-46|11-10|4-3|10-9|50-49|3-2|6-5|37-12|44-43|45-44|5-4|46-45|0-0
Medium - Sparse - Kruskal,48,91861,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36,27,16-15|34-9|30-29|33-32|31-30|12-11|9-8|14-13|7-6|32-31|2-1|17-16|8-7|34-33|13-12|30-5|15-14|11-10|4-3|10-9|3-2|29-28|28-3|36-11|35-34|18-17|0-0
Medium - Sparse - Kruskal,49,98039,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,16-15|34-9|30-29|33-32|31-30|12-11|9-8|14-13|7-6|32-31|2-1|50-1|17-16|49-48|8-7|34-33|13-12|30-5|15-14|47-46|11-10|4-3|10-9|50-49|3-2|29-28|28-3|36-11|35-34|18-17|48-47|0-0
Medium - Sparse - Kruskal,50,99617,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,40-39|43-18|16-15|34-9|30-29|40-15|33-32|41-40|31-30|12-11|37-36|42-41|43-42|9-8|14-13|7-6|32-31|2-1|17-16|38-37|8-7|34-33|13-12|30-5|15-14|11-10|4-3|10-9|3-2|29-28|37-12|44-43|28-3|45-44|35-34|0-0
Medium - Sparse - Kruskal,51,105242,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,40-39|43-18|16-15|34-9|30-29|40-15|33-32|41-40|31-30|12-11|37-36|42-41|43-42|9-8|14-13|7-6|32-31|2-1|50-1|17-16|38-37|49-48|8-7|34-33|13-12|30-5|15-14|47-46|11-10|4-3|10-9|50-49|3-2|29-28|37-12|44-43|28-3|45-44|35-34|46-45|0-0
Medium - Sparse - Kruskal,52,94314,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,27,16-15|26-25|26-1|22-21|27-26|12-11|9-8|14-13|7-6|25-24|19-18|20-19|2-1|17-16|8-7|24-23|13-12|15-14|11-10|21-20|4-3|10-9|3-2|23-22|6-5|5-4|0-0
Medium - Sparse - Kruskal,53,98761,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|46|47|48|49|50,32,46-21|16-15|26-25|26-1|22-21|27-26|12-11|9-8|14-13|47-22|7-6|25-24|48-23|19-18|20-19|2-1|50-1|17-16|49-48|8-7|24-23|13-12|15-14|11-10|21-20|4-3|10-9|3-2|23-22|6-5|5-4|0-0
Medium - Sparse - Kruskal,54,112658,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,36,40-39|43-18|16-15|26-25|26-1|40-15|41-40|22-21|27-26|12-11|42-41|43-42|9-8|14-13|7-6|25-24|19-18|20-19|45-20|2-1|17-16|38-37|44-19|8-7|24-23|13-12|15-14|11-10|21-20|4-3|10-9|3-2|23-22|6-5|37-12|0-0
Medium - Sparse - Kruskal,55,170280,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,40-39|46-21|43-18|16-15|26-25|26-1|40-15|41-40|22-21|27-26|12-11|42-41|43-42|9-8|14-13|47-22|7-6|25-24|48-23|19-18|20-19|45-20|2-1|50-1|17-16|38-37|44-19|49-48|8-7|24-23|13-12|15-14|11-10|21-20|4-3|10-9|3-2|23-22|6-5|37-12|0-0
Medium - Sparse - Kruskal,56,159977,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,36,16-15|26-25|34-9|26-1|30-29|33-32|22-21|27-26|31-30|12-11|9-8|14-13|7-6|25-24|32-31|19-18|20-19|2-1|17-16|8-7|24-23|34-33|13-12|30-5|15-14|11-10|21-20|4-3|10-9|28-27|3-2|23-22|29-28|36-11|35-34|0-0
Medium - Sparse - Kruskal,57,114956,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,41,46-21|16-15|26-25|34-9|26-1|30-29|33-32|22-21|27-26|31-30|12-11|9-8|14-13|47-22|7-6|25-24|32-31|48-23|19-18|20-19|2-1|50-1|17-16|49-48|8-7|24-23|34-33|13-12|30-5|15-14|11-10|21-20|4-3|10-9|28-27|3-2|23-22|29-28|36-11|35-34|0-0
Medium - Sparse - Kruskal,58,88699,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,45,40-39|43-18|16-15|26-25|34-9|26-1|30-29|40-15|33-32|41-40|22-21|27-26|31-30|12-11|37-36|42-41|43-42|9-8|14-13|7-6|25-24|32-31|19-18|20-19|45-20|2-1|17-16|38-37|44-19|8-7|24-23|34-33|13-12|30-5|15-14|11-10|21-20|4-3|10-9|28-27|3-2|23-22|37-12|35-34|0-0
Medium - Sparse - Kruskal,59,92643,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,50,40-39|46-21|43-18|16-15|26-25|34-9|26-1|30-29|40-15|33-32|41-40|22-21|27-26|31-30|12-11|37-36|42-41|43-42|9-8|14-13|47-22|7-6|25-24|32-31|48-23|19-18|20-19|45-20|2-1|50-1|17-16|38-37|44-19|49-48|8-7|24-23|34-33|13-12|30-5|15-14|11-10|21-20|4-3|10-9|28-27|3-2|23-22|37-12|35-34|0-0
Medium - Dense - Kruskal,60,1135715,46|47|48|49|50,5,49-46|50-47|50-48|50-46|0-0
Medium - Dense - Kruskal,61,971751,37|38|39|40|41|42|43|44|45,9,40-39|40-37|41-40|42-41|43-42|45-43|44-42|43-38|0-0
Medium - Dense - Kruskal,62,1511456,37|38|39|40|41|42|43|44|45|46|47|48|49|50,14,49-39|40-39|49-37|48-37|49-46|46-41|49-43|50-45|48-38|50-43|50-47|42-41|44-42|0-0
Medium - Dense - Kruskal,63,959299,28|29|30|31|32|33|34|35|36,9,35-32|34-31|34-32|33-29|33-28|31-28|30-29|36-31|0-0
Medium - Dense - Kruskal,64,755142,28|29|30|31|32|33|34|35|36|46|47|48|49|50,14,35-32|34-31|34-32|46-33|33-29|33-28|46-30|47-36|31-28|47-29|49-46|48-33|50-36|0-0
Medium - Dense - Kruskal,65,773834,28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,18,35-32|39-30|42-29|34-31|34-32|38-30|40-39|33-29|38-28|40-29|42-34|45-30|39-36|40-37|41-33|43-36|44-34|0-0
