#medium-prim.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Sparse - Prim,59,168626,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,50,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|19-18|20-19|21-20|22-21|23-24|24-25|25-26|26-1|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-37|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-19|45-20|46-21|47-22|48-23|49-48|50-1
Medium - Dense - Prim,60,201018,46|47|48|49|50,5,46-46|47-50|48-50|49-46|50-46
Medium - Dense - Prim,61,168418,37|38|39|40|41|42|43|44|45,9,37-37|38-43|39-40|40-37|41-40|42-41|43-42|44-42|45-43
Medium - Dense - Prim,62,243987,37|38|39|40|41|42|43|44|45|46|47|48|49|50,14,37-37|38-48|39-49|40-39|41-46|42-41|43-49|44-42|45-50|46-49|47-50|48-37|49-37|50-43
Medium - Dense - Prim,63,125749,28|29|30|31|32|33|34|35|36,9,28-28|29-33|30-29|31-28|32-34|33-28|34-31|35-32|36-31
Medium - Dense - Prim,64,186478,28|29|30|31|32|33|34|35|36|46|47|48|49|50,14,28-28|29-33|30-46|31-28|32-34|33-28|34-31|35-32|36-47|46-33|47-29|48-33|49-46|50-47
Medium - Dense - Prim,65,250391,28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,18,28-28|29-40|30-38|31-34|32-34|33-29|34-42|35-32|36-39|37-40|38-28|39-30|40-39|41-33|42-29|43-36|44-34|45-30
Medium - Dense - Prim,66,338689,28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,28-28|29-40|30-38|31-34|32-34|33-29|34-42|35-32|36-39|37-49|38-28|39-30|40-39|41-33|42-29|43-49|44-34|45-30|46-33|47-36|48-37|49-39|50-45
Medium - Dense - Prim,67,111034,19|20|21|22|23|24|25|26|27,9,19-19|20-26|21-19|22-21|23-19|24-26|25-21|26-25|27-24
Medium - Dense - Prim,68,181468,19|20|21|22|23|24|25|26|27|46|47|48|49|50,14,19-19|20-26|21-19|22-50|23-19|24-26|25-21|26-46|27-24|46-21|47-23|48-20|49-46|50-27
